	geneName	slope	p-val	rejected	p_corrected
9	CICP27	0.39291229348622764	0.001463208	TRUE	
58	NOC2L	-0.149841733	0.000540811	TRUE	
60	PLEKHN1	-0.218143549	0.000645598	TRUE	
63	HES4	-0.445706465	0.006412669	TRUE	
71	C1orf159	-0.20940558	0.00056736	TRUE	
81	SDF4	-0.08036739	0.000991007	TRUE	
88	ACAP3	-0.16133856	0.000189745	TRUE	
91	INTS11	-0.135440545	5.2630514090367027e-05	TRUE	
93	RP5-890O3.9	-0.169491807	0.002895388	TRUE	
96	DVL1	-0.145208573	0.000258179	TRUE	
111	ATAD3B	-0.212142517	0.001713052	TRUE	
118	RP11-345P4.9	-0.130337412	0.000988933	TRUE	
119	MIB2	-0.181440067	0.00115808	TRUE	
120	MMP23B	-0.54487345	0.000183284	TRUE	
123	SLC35E2B	0.1384706961713607	0.000841186	TRUE	
149	PEX10	-0.14064404	0.000268556	TRUE	
150	PLCH2	-0.386220764	0.002333649	TRUE	
151	RP3-395M20.2	-0.356639763	6.957044439554879e-05	TRUE	
153	PANK4	-0.129002091	0.000219311	TRUE	
155	RP3-395M20.12	-0.243126575	2.0562361852995735e-05	TRUE	
157	TNFRSF14	-0.156436138	1.4880832813271817e-05	TRUE	
159	RP3-395M20.9	-0.210797254	0.006338021	TRUE	
160	FAM213B	-0.309971944	1.9735778596062556e-11	TRUE	
161	MMEL1	-0.691634487	8.411820495469172e-15	TRUE	
178	RP11-46F15.2	0.2832897918825736	0.002833556	TRUE	
183	RP5-1092A11.2	0.059882438682928314	0.00595875	TRUE	
190	CEP104	-0.141268752	1.0535068394418044e-06	TRUE	
192	C1orf174	-0.148151112	9.346045277245686e-06	TRUE	
200	AJAP1	-0.517026691	6.361341035732246e-06	TRUE	
212	RNF207	-0.369191693	0.002692689	TRUE	
217	ACOT7	-0.238448917	0.004551533	TRUE	
219	ESPN	-0.688725965	6.61666754036194e-07	TRUE	
235	CAMTA1	-0.162856684	8.685514962658992e-07	TRUE	
247	PER3	-0.372502851	4.4666968930491e-06	TRUE	
248	RP3-467L1.4	-0.24668942	0.000750788	TRUE	
252	PARK7	-0.092139308	0.007438955	TRUE	
279	RP3-477M7.6	0.087328179	0.002473516	TRUE	
285	GPR157	0.1621660793155678	0.005650018	TRUE	
289	H6PD	0.1921773250886316	0.001426437	TRUE	
315	KIF1B	0.2715904756457837	6.11000141759896e-05	TRUE	
323	PEX14	-0.17384628	0.000283364	TRUE	
325	CASZ1	-0.188014481	0.000957782	TRUE	
326	RP4-734G22.3	-0.347581918	6.782952962780186e-05	TRUE	
334	EXOSC10	-0.120686999	0.00631121	TRUE	
375	TNFRSF1B	-0.172531059	0.001091925	TRUE	
450	RP3-467K16.4	0.28772659414415935	0.003560979	TRUE	
452	CTRC	0.20556764587844484	0.004649029	TRUE	
466	PLEKHM2	-0.114502586	0.000111931	TRUE	
478	ZBTB17	-0.142787849	5.007001233178828e-06	TRUE	
493	ANO7L1	-0.351343787	0.000165048	TRUE	
496	FBXO42	-0.079382124	0.001947948	TRUE	
497	SZRD1	-0.08197959	0.003686235	TRUE	
